School Name,School Type,Starting Median Salary,Mid-Career Median Salary
Massachusetts Institute of Technology (MIT),Engineering,"$72,200.00 ","$126,000.00 "
California Institute of Technology (CIT),Engineering,"$75,500.00 ","$123,000.00 "
Harvey Mudd College,Engineering,"$71,800.00 ","$122,000.00 "
"Polytechnic University of New York, Brooklyn",Engineering,"$62,400.00 ","$114,000.00 "
Cooper Union,Engineering,"$62,200.00 ","$114,000.00 "
Worcester Polytechnic Institute (WPI),Engineering,"$61,000.00 ","$114,000.00 "
Carnegie Mellon University (CMU),Engineering,"$61,800.00 ","$111,000.00 "
Rensselaer Polytechnic Institute (RPI),Engineering,"$61,100.00 ","$110,000.00 "
Georgia Institute of Technology,Engineering,"$58,300.00 ","$106,000.00 "
Colorado School of Mines,Engineering,"$58,100.00 ","$106,000.00 "
Stevens Institute of Technology,Engineering,"$60,600.00 ","$105,000.00 "
Illinois Institute of Technology (IIT),Engineering,"$56,000.00 ","$97,800.00 "
Wentworth Institute of Technology,Engineering,"$53,000.00 ","$96,700.00 "
Virginia Polytechnic Institute and State University (Virginia Tech),Engineering,"$53,500.00 ","$95,400.00 "
South Dakota School of Mines & Technology,Engineering,"$55,800.00 ","$93,400.00 "
New Mexico Institute of Mining and Technology (New Mexico Tech),Engineering,"$51,000.00 ","$93,400.00 "
Rochester Institute of Technology (RIT),Engineering,"$48,900.00 ","$84,600.00 "
Embry-Riddle Aeronautical University (ERAU),Engineering,"$52,700.00 ","$80,700.00 "
Tennessee Technological University,Engineering,"$46,200.00 ","$80,000.00 "
