School Name,Region
Massachusetts Institute of Technology (MIT),Northeastern
California Institute of Technology (CIT),California
Harvey Mudd College,California
"Polytechnic University of New York, Brooklyn",Northeastern
Cooper Union,Northeastern
Worcester Polytechnic Institute (WPI),Northeastern
Carnegie Mellon University (CMU),Northeastern
Rensselaer Polytechnic Institute (RPI),Northeastern
Georgia Institute of Technology,Southern
Colorado School of Mines,Western
Stevens Institute of Technology,Northeastern
Illinois Institute of Technology (IIT),Midwestern
Wentworth Institute of Technology,Northeastern
Virginia Polytechnic Institute and State University (Virginia Tech),Southern
South Dakota School of Mines & Technology,Midwestern
New Mexico Institute of Mining and Technology (New Mexico Tech),Western
Rochester Institute of Technology (RIT),Northeastern
Embry-Riddle Aeronautical University (ERAU),Southern
Tennessee Technological University,Southern
University of Illinois at Urbana-Champaign (UIUC),Midwestern
"University of Maryland, College Park",Southern
"University of California, Santa Barbara (UCSB)",California
University of Texas (UT) - Austin,Southern
State University of New York (SUNY) at Albany,Northeastern
University of Florida (UF),Southern
Louisiana State University (LSU),Southern
University of Georgia (UGA),Southern
Pennsylvania State University (PSU),Northeastern
Arizona State University (ASU),Western
"Indiana University (IU), Bloomington",Midwestern
University of Iowa (UI),Midwestern
Randolph-Macon College,Southern
"University of Alabama, Tuscaloosa",Southern
University of Mississippi,Southern
University of New Hampshire (UNH),Northeastern
West Virginia University (WVU),Southern
University of Tennessee,Southern
Ohio University,Midwestern
Florida State University (FSU),Southern
Bucknell University,Northeastern
Colgate University,Northeastern
Amherst College,Northeastern
Lafayette College,Northeastern
Bowdoin College,Northeastern
College of the Holy Cross,Northeastern
Occidental College,California
Washington and Lee University,Southern
Swarthmore College,Northeastern
Davidson College,Southern
Carleton College,Midwestern
Williams College,Northeastern
Pomona College,California
"Wesleyan University (Middletown, Connecticut)",Northeastern
Bates College,Northeastern
Union College,Northeastern
University of Richmond,Southern
Vassar College,Northeastern
Middlebury College,Northeastern
Mount Holyoke College,Northeastern
Franklin and Marshall College,Northeastern
DePauw University,Midwestern
St. Olaf College,Midwestern
Colby College,Northeastern
Gettysburg College,Northeastern
Siena College,Northeastern
Smith College,Northeastern
Hamilton College,Northeastern
Randolph-Macon College,Southern
Wellesley College,Northeastern
Denison University,Midwestern
Oberlin College,Midwestern
University of Puget Sound,Western
Colorado College (CC),Western
Reed College,Western
Gustavus Adolphus College,Midwestern
Whitman College,Western
Ursinus College,Northeastern
Juniata College,Northeastern
Wittenberg University,Midwestern
Grinnell College,Midwestern
Skidmore College,Northeastern
Moravian College,Northeastern
Lewis & Clark College,Western
Fort Lewis College,Western
Thomas Aquinas College,California
Evergreen State College,Western
