School Name,School Type,Starting Median Salary,Mid-Career Median Salary
"University of California, Berkeley",State,"$59,900.00 ","$112,000.00 "
University of Virginia (UVA),State,"$52,700.00 ","$103,000.00 "
Cal Poly San Luis Obispo,State,"$57,200.00 ","$101,000.00 "
University of California at Los Angeles (UCLA),State,"$52,600.00 ","$101,000.00 "
"University of California, San Diego (UCSD)",State,"$51,100.00 ","$101,000.00 "
"University of California, Davis",State,"$52,300.00 ","$99,600.00 "
University of Colorado - Boulder (UCB),State,"$47,100.00 ","$97,600.00 "
"University of California, Irvine (UCI)",State,"$48,300.00 ","$96,700.00 "
University of Illinois at Urbana-Champaign (UIUC),State,"$52,900.00 ","$96,100.00 "
Texas A&M University,State,"$49,700.00 ","$96,100.00 "
Binghamton University,State,"$53,600.00 ","$95,900.00 "
University of Missouri - Rolla (UMR),State,"$57,100.00 ","$95,800.00 "
San Jose State University (SJSU),State,"$53,500.00 ","$95,600.00 "
"University of Maryland, College Park",State,"$52,000.00 ","$95,000.00 "
"University of California, Santa Barbara (UCSB)",State,"$50,500.00 ","$95,000.00 "
University of Texas (UT) - Austin,State,"$49,700.00 ","$93,900.00 "
University of Michigan,State,"$52,700.00 ","$93,000.00 "
Stony Brook University,State,"$49,500.00 ","$93,000.00 "
State University of New York (SUNY) at Albany,State,"$44,500.00 ","$92,200.00 "
Rutgers University,State,"$50,300.00 ","$91,800.00 "
Purdue University,State,"$51,400.00 ","$90,500.00 "
University of Connecticut (UConn),State,"$48,000.00 ","$88,800.00 "
University of Massachusetts (UMass) - Amherst,State,"$46,600.00 ","$88,200.00 "
"California State University (CSU), Chico",State,"$47,400.00 ","$88,100.00 "
University of Florida (UF),State,"$47,100.00 ","$87,900.00 "
University of Wisconsin (UW) - Madison,State,"$48,900.00 ","$87,800.00 "
Louisiana State University (LSU),State,"$46,900.00 ","$87,800.00 "
"California State University, Fullerton (CSUF)",State,"$45,700.00 ","$87,000.00 "
George Mason University,State,"$47,800.00 ","$86,900.00 "
University of Massachusetts (UMass) - Lowell,State,"$45,400.00 ","$86,600.00 "
San Francisco State University (SFSU),State,"$47,300.00 ","$86,400.00 "
University of Arizona,State,"$47,500.00 ","$86,100.00 "
Clemson University,State,"$48,400.00 ","$86,000.00 "
University of Georgia (UGA),State,"$44,100.00 ","$86,000.00 "
Pennsylvania State University (PSU),State,"$49,900.00 ","$85,700.00 "
University of Washington (UW),State,"$48,800.00 ","$85,300.00 "
Michigan State University (MSU),State,"$46,300.00 ","$85,300.00 "
University of Rhode Island (URI),State,"$43,900.00 ","$85,300.00 "
San Diego State University (SDSU),State,"$46,200.00 ","$85,200.00 "
Auburn University,State,"$45,400.00 ","$84,700.00 "
Washington State University (WSU),State,"$45,300.00 ","$84,700.00 "
"California State University, Long Beach (CSULB)",State,"$45,100.00 ","$84,700.00 "
Iowa State University,State,"$45,400.00 ","$84,600.00 "
University of Delaware,State,"$45,900.00 ","$84,500.00 "
University of Colorado - Denver,State,"$46,100.00 ","$84,400.00 "
"California State University, East Bay (CSUEB)",State,"$49,200.00 ","$84,300.00 "
